CAS,smiles
Oc1cccc(c1)-c([nH]2)nc(c23)ccc(c3)-c([nH]4)nc(c45)ccc(c5)N6CC[NH+](C)CC6,Oc1cccc(c1)-c([nH]2)nc(c23)ccc(c3)-c([nH]4)nc(c45)ccc(c5)N6CC[NH+](C)CC6
c1cccnc1-c(nc(c23)CCC3)nc2-n(cc4)c(c45)cc[nH+]c5,c1cccnc1-c(nc(c23)CCC3)nc2-n(cc4)c(c45)cc[nH+]c5
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(C(C)(C)C)cc2,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(C(C)(C)C)cc2
NC(=O)[C@@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](CCCC[NH2+]C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@H](NC(=O)C)Cc(cc5)cc(c56)cccc6,NC(=O)[C@@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](CCCC[NH2+]C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc3cccnc3)NC(=O)[C@@H](Cc4ccc(Cl)cc4)NC(=O)[C@H](NC(=O)C)Cc(cc5)cc(c56)cccc6
c1ccccc1C(\CCCO)=C(c2ccc(O)cc2)/c3ccc(cc3)OCC[NH+](C)C,c1ccccc1C(\CCCO)=C(c2ccc(O)cc2)/c3ccc(cc3)OCC[NH+](C)C
FC(F)(F)c(cc1)ccc1C(=O)Nc(n2)sc(c23)cc(cc3)NC(=O)CSc4ccc(N)cc4,FC(F)(F)c(cc1)ccc1C(=O)Nc(n2)sc(c23)cc(cc3)NC(=O)CSc4ccc(N)cc4
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCCCNC(=O)C=C,Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCCCNC(=O)C=C
C1CCCCN1C(=O)c(nn2CCC)c(c23)C[C@@H](CC3)[NH2+]CCc4ccncc4,C1CCCCN1C(=O)c(nn2CCC)c(c23)C[C@@H](CC3)[NH2+]CCc4ccncc4
O1COc(c12)ccc(c2)[C@@]3(O)CC[C@H](CC3)[N@H+](C[C@@H]4OCC)C[C@@H]4NC(=O)CNC(=O)c5cc(C(F)(F)F)ccc5,O1COc(c12)ccc(c2)[C@@]3(O)CC[C@H](CC3)[N@H+](C[C@@H]4OCC)C[C@@H]4NC(=O)CNC(=O)c5cc(C(F)(F)F)ccc5
[NH2+]=C(N)c(c1)ccc(c12)cc([nH]2)-c3ccc(cc3)Nc4ccc(C(N)=[NH2+])cc4,[NH2+]=C(N)c(c1)ccc(c12)cc([nH]2)-c3ccc(cc3)Nc4ccc(C(N)=[NH2+])cc4
O=C([O-])c1ccccc1C(=O)NCCCCCC(=O)NC[C@@H](CC([O-])=O)c2ccc(Cl)cc2,O=C([O-])c1ccccc1C(=O)NCCCCCC(=O)NC[C@@H](CC([O-])=O)c2ccc(Cl)cc2
c1cccc(c12)c(c[nH]2)C[C@@H](NC(=O)C[NH3+])c3nnc(CCc4ccccc4)n3Cc5ccc(OC)cc5,c1cccc(c12)c(c[nH]2)C[C@@H](NC(=O)C[NH3+])c3nnc(CCc4ccccc4)n3Cc5ccc(OC)cc5
Nc1ncnc(c12)n(cn2)[C@@H]([C@H](O)[C@@H]3O)O[C@@H]3COS(=O)(=O)[N-]C(=O)[C@@H]([NH3+])CCC(=O)N,Nc1ncnc(c12)n(cn2)[C@@H]([C@H](O)[C@@H]3O)O[C@@H]3COS(=O)(=O)[N-]C(=O)[C@@H]([NH3+])CCC(=O)N
FC(F)(F)Oc(cc1)c(cc1Br)-c2cc(C([O-])=O)c(C)n2CC3CCCCC3,FC(F)(F)Oc(cc1)c(cc1Br)-c2cc(C([O-])=O)c(C)n2CC3CCCCC3
FC(F)(F)Oc1ccccc1S(=O)(=O)[N-]c(c2)ccc(c23)C(=O)N(C3=O)[C@@H]4CCC(=O)NC4=O,FC(F)(F)Oc1ccccc1S(=O)(=O)[N-]c(c2)ccc(c23)C(=O)N(C3=O)[C@@H]4CCC(=O)NC4=O
ONC(=O)c1ccc(cc1)Cn2nnc(c2)-c3ccc(cc3)C[NH+]4CCCC4,ONC(=O)c1ccc(cc1)Cn2nnc(c2)-c3ccc(cc3)C[NH+]4CCCC4
c1ccccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H]3N(CCC3)C(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H]([NH3+])Cc5ccc(O)cc5,c1ccccc1C[C@@H](C(=O)N[C@H](C([O-])=O)CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H]3N(CCC3)C(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H]([NH3+])Cc5ccc(O)cc5
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(N(C)C)cc2,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2ccc(N(C)C)cc2
[O-][N+](=O)c(cc1)ccc1C[C@H](NC(=O)C)C(=O)N[C@@H](C(=O)N[C@H](C2=O)Cc3ccc(O)cc3)CSSC[C@@H](C(=O)N[C@@H](C(=O)N)Cc4ccc(O)cc4)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N2)Cc(c[nH]5)c(c56)cccc6,[O-][N+](=O)c(cc1)ccc1C[C@H](NC(=O)C)C(=O)N[C@@H](C(=O)N[C@H](C2=O)Cc3ccc(O)cc3)CSSC[C@@H](C(=O)N[C@@H](C(=O)N)Cc4ccc(O)cc4)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N2)Cc(c[nH]5)c(c56)cccc6
[O-]C(=O)[C@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)C[NH2+]C)CCCNC(N)=[NH2+],[O-]C(=O)[C@H](C)NC(=O)[C@H]1N(CCC1)C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)C[NH2+]C)CCCNC(N)=[NH2+]
c1cccc(c12)c(c[nH]2)C[C@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](C)[NH3+])C(=O)N[C@@H](CC(C)C)C(=O)N3[C@@H](CCC3)C(=O)N4[C@@H](CCC4)C(=O)N[C@H](C([O-])=O)CCCNC(N)=[NH2+],c1cccc(c12)c(c[nH]2)C[C@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](C)[NH3+])C(=O)N[C@@H](CC(C)C)C(=O)N3[C@@H](CCC3)C(=O)N4[C@@H](CCC4)C(=O)N[C@H](C([O-])=O)CCCNC(N)=[NH2+]
O=C1[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)N)NC(=O)CN1,O=C1[C@@H]([NH3+])CSSC[C@@H](C([O-])=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)N)NC(=O)CN1
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2c(F)c(F)c(F)c(F)c2F,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2c(F)c(F)c(F)c(F)c2F
c1ccccc1C[C@@H](C(=O)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)NC(=O)[C@@H]([NH3+])Cc3ccc(O)cc3,c1ccccc1C[C@@H](C(=O)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)NC(=O)[C@@H]([NH3+])Cc3ccc(O)cc3
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCNC(=O)C=C,Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCNC(=O)C=C
[NH3+]CCCC[C@@H](C(=O)N)NC(=O)[C@H](Cc(cc1)ccc1O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)C,[NH3+]CCCC[C@@H](C(=O)N)NC(=O)[C@H](Cc(cc1)ccc1O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)C
c1cc(N)cc(c12)oc(=O)c(c2C)CC(=O)NCCCC[C@@H](C([O-])=O)NC(=O)[C@@H](C)[NH3+],c1cc(N)cc(c12)oc(=O)c(c2C)CC(=O)NCCCC[C@@H](C([O-])=O)NC(=O)[C@@H](C)[NH3+]
Cc1c(Br)c(Br)c(c2c13)CCCn2c(n3)N4CC[NH2+]CC4,Cc1c(Br)c(Br)c(c2c13)CCCn2c(n3)N4CC[NH2+]CC4
CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2c(Cl)cc(O)cc2,CCOC(=O)C(=C1C)C(C(=C(C)N1)C(=O)OCC)c2c(Cl)cc(O)cc2
Clc1cc(C(F)(F)F)ccc1-c(o2)cc(=O)c(c23)c(O)cc(O)c3[C@@H]4[C@@H](CO)[N@H+](C)CC4,Clc1cc(C(F)(F)F)ccc1-c(o2)cc(=O)c(c23)c(O)cc(O)c3[C@@H]4[C@@H](CO)[N@H+](C)CC4
C1CC1N(C2)C(=O)COC23CCN(CC3)S(=O)(=O)c4ccc(cc4)-c(cc5)cc(c56)nccc6,C1CC1N(C2)C(=O)COC23CCN(CC3)S(=O)(=O)c4ccc(cc4)-c(cc5)cc(c56)nccc6
c1ccccc1C[C@@H](C(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C,c1ccccc1C[C@@H](C(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C
NC(=O)c1ccnc(c1)CNCC(=O)N(CC)CC[NH+](C)C,NC(=O)c1ccnc(c1)CNCC(=O)N(CC)CC[NH+](C)C
