chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL3668532,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(CC(=O)N4CC(O)C4)CC3)c(C#N)c12,135,nM,6.869666232
CHEMBL3668533,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(CC(=O)N4CCC[C@@H]4CO)CC3)c(C#N)c12,149,nM,6.826813732
CHEMBL3668534,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=C[C@H](CO)N(CC(=O)N(C)C)CC3)cc12,115,nM,6.93930216
CHEMBL3668535,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)N(C)C)[C@@H](CO)C3)cc12,82,nM,7.086186148
CHEMBL3668536,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC(C)(C)N(S(C)(=O)=O)CC3)cc12,104,nM,6.982966661
CHEMBL3668537,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(S(C)(=O)=O)C(C)(C)C3)cc12,122,nM,6.913640169
CHEMBL3668538,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)N(C)C)C(C)(C)C3)cc12,81,nM,7.091514981
CHEMBL3668539,COCCS(=O)(=O)N1CC2C=C(c3cc4c(-c5cc(F)ccc5OC)ccnc4[nH]3)CC2C1,78,nM,7.107905397
CHEMBL3668540,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3CCN(CC(=O)N(C)C)CC3)cc12,90,nM,7.045757491
CHEMBL3668541,COc1ccc(F)cc1-c1ccnc2[nH]c(C3CCN(CC(=O)N(C)C4CC(O)C4)CC3)cc12,66,nM,7.180456064
CHEMBL3668542,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CC4CN(S(C)(=O)=O)CC4C3)cc12,87,nM,7.060480747
CHEMBL3668543,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CC4CN(CC(=O)N(C)C)CC4C3)cc12,86,nM,7.065501549
CHEMBL3668544,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCC(C(=O)O)CC3)cc12,124,nM,6.906578315
CHEMBL3668545,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC4CN(C(=O)CO)CC4C3)cc12,71,nM,7.148741651
CHEMBL3668546,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC4CN(C(=O)CC#N)CC4C3)cc12,77,nM,7.113509275
CHEMBL3668547,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CC4CN(S(C)(=O)=O)CC4C3)cc12,117,nM,6.931814138
CHEMBL3668548,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CCN(CC(=O)N4CCC[C@H]4CO)CC3)cc12,172,nM,6.764471553
CHEMBL3668549,CNC(=O)N1C[C@H]2C=C(c3cc4c(-c5cc(F)ccc5OC)ccnc4[nH]3)C[C@H]2C1,71,nM,7.148741651
CHEMBL3668550,CNC(=O)N1C[C@H]2CC(c3cc4c(-c5cc(F)ccc5OC)ccnc4[nH]3)=C[C@H]2C1,93,nM,7.031517051
CHEMBL3668551,CNC(=O)N1CC2C=C(c3cc4c(-c5cc(F)ccc5OC)c(F)cnc4[nH]3)CC2C1,201,nM,6.696803943
CHEMBL3668552,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CC4CN(CC(=O)N(C)C)CC4C3)cc12,104,nM,6.982966661
CHEMBL3668553,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN([C@H]4CC[C@@H](CC(=O)O)CC4)CC3)cc12,71,nM,7.148741651
CHEMBL3668554,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN([C@H]4CC[C@H](CC(=O)O)CC4)CC3)cc12,57,nM,7.244125144
CHEMBL3668555,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3CCN(CC(=O)N4CCC[C@H]4CO)CC3)cc12,78,nM,7.107905397
CHEMBL3668556,CNS(=O)(=O)CC(=O)N1CC2C=C(c3cc4c(-c5cc(F)ccc5OC)ccnc4[nH]3)CC2C1,93,nM,7.031517051
CHEMBL3668557,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(C4CCC(C(=O)O)CC4)CC3)cc12,139,nM,6.8569852
CHEMBL3668558,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CC4CN(CC(=O)N5CC(O)C5)CC4C3)cc12,70,nM,7.15490196
CHEMBL3668559,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(CC(=O)N4CC(O)C4)CC3)cc12,42,nM,7.37675071
CHEMBL3668560,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC4CN(CC(=O)N5CC(O)C5)CC4C3)cc12,119,nM,6.924453039
CHEMBL3668561,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC4CN(CC(=O)N5CCC[C@H]5CO)CC4C3)cc12,125,nM,6.903089987
CHEMBL3668562,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(CC(=O)N4CCC(O)CC4)CC3)cc12,83,nM,7.080921908
CHEMBL3668563,COc1ccc(F)cc1-c1c(F)cnc2[nH]c(C3=CCN(C4CCC(CC(=O)O)CC4)CC3)cc12,99,nM,7.004364805
CHEMBL3673490,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)N4CC(O)C4)C(C)(C)C3)cc12,83,nM,7.080921908
CHEMBL3673491,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CC4CN(C(=O)C5CC(O)C5)CC4C3)cc12,115,nM,6.93930216
CHEMBL3673492,COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CC4CN(CC(=O)N5CCC[C@H]5CO)CC4C3)cc12,138,nM,6.860120914
CHEMBL3673493,Fc1cccc(CNc2cc(-c3ccnc4[nH]c(C5CCNCC5)cc34)c(Cl)cn2)c1,15,nM,7.823908741
CHEMBL3673494,NC1CCCC(c2cc3c(-c4cccc(NCc5cccc(F)c5)n4)ccnc3[nH]2)C1,9,nM,8.045757491
CHEMBL3673495,Fc1cccc(-c2ccnc3[nH]c(C4=CCNCC4)cc23)n1,240,nM,6.619788758
CHEMBL3673496,CS(=O)(=O)N1CC=C(c2cc3c(-c4cccc(F)n4)ccnc3[nH]2)CC1,250,nM,6.602059991
CHEMBL3673497,CS(=O)(=O)N1CC=C(c2cc3c(-c4cccc(NCc5c(F)cccc5F)n4)ccnc3[nH]2)CC1,170,nM,6.769551079
CHEMBL3673498,CS(=O)(=O)N1CC=C(c2cc3c(-c4cccc(NCc5ccccc5Cl)n4)ccnc3[nH]2)CC1,490,nM,6.30980392
CHEMBL3673499,CS(=O)(=O)N1CC=C(c2cc3c(-c4cccc(NCC5CC5)n4)ccnc3[nH]2)CC1,260,nM,6.585026652
CHEMBL3673500,CS(=O)(=O)N1CCC(c2cc3c(-c4cncc(NCc5ccccc5)n4)ccnc3[nH]2)CC1,15,nM,7.823908741
CHEMBL3673501,c1ccc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)cc1,5,nM,8.301029996
CHEMBL3673502,c1cc(-c2cncc(NCC3CCOCC3)n2)c2cc(C3CCNCC3)[nH]c2n1,31,nM,7.508638306
CHEMBL3673503,Fc1cc(F)cc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)c1,5,nM,8.301029996
CHEMBL3673504,Fc1cccc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)c1,10,nM,8
CHEMBL3673505,c1cncc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)c1,29,nM,7.537602002
CHEMBL3673506,c1cc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)ccn1,36,nM,7.443697499
CHEMBL3673507,Fc1ccc(CNc2cncc(-c3ccnc4[nH]c(C5CCNCC5)cc34)n2)cc1F,9,nM,8.045757491
