chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL3975453,CN1Cc2c(C3=CCN(C4CCC(C(C)(C)C(=O)O)CC4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,130.0,nM,6.886056647693163
CHEMBL3976415,CC[C@H]1c2c(C3=CCN([C@H]4C[C@@H](C(=O)OC)C4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc2N1C,64.0,nM,7.1938200260161125
CHEMBL3947123,CC[C@H]1c2c(C3=CCN([C@H]4C[C@@H](C(=O)O)C4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc2N1C,110.0,nM,6.958607314841775
CHEMBL3984474,CN1CCc2c(C3=CCN([C@H]4C[C@@H](C(=O)O)C4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,150.0,nM,6.823908740944319
CHEMBL3952466,CC[C@H]1c2c(C3=CCN([C@H]4C[C@H](C(=O)O)C4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc2N1C,110.0,nM,6.958607314841775
CHEMBL3899896,CN1CCc2c(C3=CCN([C@H]4C[C@H](C(=O)O)C4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,160.0,nM,6.795880017344075
CHEMBL3971069,CN1Cc2c(C3=CCN(C4CCC(C(C#N)C(=O)O)CC4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,88.0,nM,7.055517327849832
CHEMBL3966523,CN1Cc2c(C3=CCN(C4CC(CC(=O)O)C4)CC3)[nH]c3ncc(F)c(c23)-c2cc(F)ccc21,79.0,nM,7.102372908709558
CHEMBL3891658,CN1Cc2c(C3=CCN(C4CC(C(=O)O)C4)CC3)[nH]c3ncc(F)c(c23)-c2cc(F)ccc21,76.0,nM,7.119186407719209
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,5330.0,nM,5.273272790973428
CHEMBL4083249,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5ocnc5c4)cc3c21,1430.0,nM,5.844663962534939
CHEMBL490355,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,2160.0,nM,5.665546248849069
CHEMBL4082469,CSc1sc(C(N)=O)c2c1-c1sncc1CC2,4.0,nM,8.397940008672037
CHEMBL4066819,COCCNC(=O)c1ccc(Oc2sc(C(N)=O)c3c2-c2sncc2CC3)cn1,270.0,nM,6.568636235841013
CHEMBL4084410,Clc1ccnc2[nH]c(-c3ccc(N4CCNCC4)cc3)cc12,20.0,nM,7.698970004336019
CHEMBL4102376,Cn1c(-c2ccc(N3CCNCC3)cc2)cc2c(Cl)ccnc21,5000.0,nM,5.301029995663981
CHEMBL4074103,N#Cc1ccnc2[nH]c(-c3ccc(N4CCNCC4)cc3)cc12,150.0,nM,6.823908740944319
CHEMBL4094627,Cn1c(-c2ccc(N3CCNCC3)cc2)cc2c(C#N)ccnc21,6100.0,nM,5.214670164989233
CHEMBL4206957,CN1CCN(CCCCOc2c(OCc3ccc(C#N)cc3)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1,870.0,nM,6.060480747381382
CHEMBL4225966,Cc1c(Br)c(Br)c2c3c1nc(N1CCNCC1)n3CCC2,1070.0,nM,5.97061622231479
CHEMBL4294976,CCOc1ccccc1CNc1nc(C)nc2[nH]cc(-c3ccnc(N)c3)c12,10.0,nM,8.0
CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,10.0,nM,8.0
CHEMBL4286578,COc1cc(F)ccc1-c1ncnc(Nc2cccc(CS(C)(=N)=O)c2)n1,385.0,nM,6.414539270491499
CHEMBL4292930,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,4.0,nM,8.397940008672037
CHEMBL4455718,COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1,370.0,nM,6.431798275933005
CHEMBL4439395,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1cc(C2CCC2)[nH]n1,911.0,nM,6.040481623027002
CHEMBL4521241,Cc1cc(=O)c2c(O)cc(O)c([C@@H]3CCN(C)C[C@@H]3O)c2o1,300.0,nM,6.522878745280337
CHEMBL4579344,Cc1cc(C)c(CNc2nc(N[C@@H](C)[C@@H](C)O)nc3c2ncn3C(C)C)cn1,26.0,nM,7.585026652029182
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,230.0,nM,6.638272163982407
CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,57.0,nM,7.244125144327507
CHEMBL3905910,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4Cl)oc23)[C@@H]1CO,100.0,nM,7.0
CHEMBL4079206,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(/C=C/c4c(Cl)cccc4Cl)oc23)[C@H](O)C1,1.9,nM,8.721246399047171
CHEMBL4459754,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@@H]3CCNC[C@H]3O)nc12,1100.0,nM,5.958607314841775
